id,value
1,2.796157292e-04
2,2.139869434e-06
3,5.761979398e-05
4,2.623351791e-01
5,9.944362634e-01
6,4.144589714e-07
7,9.952634653e-01
8,3.421666280e-03
9,1.778930466e-01
10,5.109696451e-01
11,4.756892292e-06
12,1.817819083e-04
13,9.999996879e-01
14,9.999855394e-01
15,1.839697955e-02
16,9.998223399e-01
17,9.414841764e-07
18,9.340897258e-05
19,5.901953523e-01
20,1.295326189e-08
21,1.755121782e-03
22,9.999999549e-01
23,9.999990119e-01
24,2.031536300e-03
25,9.999978871e-01
26,1.419589755e-05
27,2.953939767e-05
28,7.794932245e-07
29,8.085409016e-04
30,1.103708242e-01
31,2.525487078e-01
32,9.982610762e-01
33,9.974584311e-01
34,8.353844419e-03
35,4.994464845e-07
36,2.834437633e-07
37,4.348115702e-01
38,4.014779565e-05
39,3.937147481e-05
40,9.999986909e-01
41,9.999999834e-01
42,1.902869190e-06
43,6.183962388e-03
44,5.054269194e-05
45,2.409338962e-02
46,2.207234925e-01
47,1.647522743e-03
48,9.671530789e-05
49,9.115781186e-01
50,9.999999684e-01
51,8.599457395e-02
52,9.875164704e-01
53,3.780832018e-01
54,9.998394804e-01
55,9.515184415e-01
56,5.719280430e-05
57,1.985823649e-06
58,9.998381995e-01
59,6.528811628e-01
60,8.836928727e-01
61,1.809804864e-03
62,2.543322429e-03
63,2.543312394e-03
64,5.218152481e-01
65,5.587446256e-03
66,5.245669975e-02
67,9.999944831e-01
68,4.365104368e-08
69,4.577954318e-01
70,3.947269505e-03
71,1.351759988e-03
72,1.255007449e-05
73,5.401301940e-01
74,1.393244463e-02
75,8.028068678e-01
76,9.905905281e-01
77,1.433982661e-03
78,8.855686771e-01
79,1.069838181e-03
80,9.893894562e-09
81,4.770292582e-08
82,4.652431982e-05
83,8.427815684e-07
84,1.385688020e-07
85,9.356695661e-01
86,9.999747400e-01
87,2.098982598e-02
88,1.128109894e-03
89,7.323413876e-07
90,7.543317970e-05
91,5.083539397e-01
92,9.999680891e-01
93,9.999999916e-01
94,7.726151021e-01
95,7.672787268e-01
96,9.998847736e-01
97,9.996613700e-01
98,3.059655892e-06
99,1.113017671e-05
100,9.299852932e-01
101,1.509641755e-05
102,4.742717650e-08
103,9.925035258e-01
104,9.964912228e-01
105,6.487248844e-05
106,6.036126429e-07
107,6.864848769e-01
108,9.944736700e-01
109,9.995863362e-01
110,6.546864743e-01
111,9.955820366e-01
112,4.687718530e-01
113,9.999901427e-01
114,9.999792317e-01
115,9.021105982e-01
116,4.706139813e-01
117,2.227727674e-09
118,2.887674640e-03
119,9.850417856e-01
120,9.846546467e-01
121,2.607194168e-02
122,1.257079717e-09
123,8.938405921e-01
124,6.621756870e-02
125,7.845359825e-01
126,3.036335783e-04
127,1.784658835e-03
128,1.126945827e-06
129,9.999999359e-01
130,1.555680324e-05
131,9.977976135e-01
132,1.747352014e-02
133,9.461847896e-01
134,9.999220342e-01
135,9.556139194e-01
136,9.999999713e-01
137,1.309912433e-03
138,9.999976443e-01
139,2.402076337e-01
140,9.584020052e-01
141,7.004305680e-01
142,1.942152051e-04
143,7.137779842e-10
144,1.744629152e-07
145,1.461996380e-03
146,5.776486125e-09
147,4.554697691e-07
148,5.462605525e-07
149,1.045823206e-03
150,7.448279078e-06
151,2.064670600e-07
152,9.965176415e-05
153,8.581310799e-04
154,9.818941787e-01
155,2.666054974e-01
156,9.999937240e-01
157,2.288969092e-03
158,2.140987269e-06
159,9.502690759e-01
160,1.094016213e-01
161,1.928789562e-03
162,5.868511145e-01
163,9.999986323e-01
164,1.575228822e-02
165,6.776608420e-03
166,9.801575151e-01
167,7.009100113e-05
168,1.172732893e-01
